arm,checkpoint,K,ceiling_speedup,actual_speedup,actual_per_slot_accept,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf
B2,B2k8-14800,2,1.3221,1.0454,0.5866,1.75,False,,,,
B2,B2k8-14800,2,1.3221,1.0454,0.5866,2.0,False,,,,
B2,B2k8-14800,4,2.0474,1.1148,0.3201,1.1,True,0.4266,2.6863,0.0777,1.3432
B2,B2k8-14800,4,2.0474,1.1148,0.3201,1.2,True,0.5198,2.9305,0.1405,1.4653
B2,B2k8-14800,4,2.0474,1.1148,0.3201,1.3,True,0.5996,3.1747,0.2156,1.5874
B2,B2k8-14800,4,2.0474,1.1148,0.3201,1.5,True,0.7328,3.6632,0.3935,1.8316
B2,B2k8-14800,4,2.0474,1.1148,0.3201,1.75,True,0.8677,4.2737,0.6532,2.1369
B2,B2k8-14800,4,2.0474,1.1148,0.3201,2.0,True,0.9805,4.8842,0.9425,2.4421
B2,B2k8-14800,8,3.3081,1.0239,0.1481,1.1,True,0.5001,2.9926,0.0078,1.4963
B2,B2k8-14800,8,3.3081,1.0239,0.1481,1.2,True,0.5629,3.2647,0.0179,1.6323
B2,B2k8-14800,8,3.3081,1.0239,0.1481,1.3,True,0.6137,3.5368,0.0328,1.7684
B2,B2k8-14800,8,3.3081,1.0239,0.1481,1.5,True,0.6926,4.0809,0.0765,2.0404
B2,B2k8-14800,8,3.3081,1.0239,0.1481,1.75,True,0.7654,4.761,0.154,2.3805
B2,B2k8-14800,8,3.3081,1.0239,0.1481,2.0,True,0.8216,5.4412,0.2526,2.7206
B2,B2k8-16000,2,1.3227,1.0882,0.6237,1.1,True,0.4949,2.4949,0.4949,1.2475
B2,B2k8-16000,2,1.3227,1.0882,0.6237,1.2,True,0.7217,2.7217,0.7217,1.3609
B2,B2k8-16000,2,1.3227,1.0882,0.6237,1.3,True,0.9485,2.9485,0.9485,1.4743
B2,B2k8-16000,2,1.3227,1.0882,0.6237,1.5,False,,,,
B2,B2k8-16000,2,1.3227,1.0882,0.6237,1.75,False,,,,
B2,B2k8-16000,2,1.3227,1.0882,0.6237,2.0,False,,,,
B2,B2k8-16000,4,2.0478,1.1851,0.3484,1.1,True,0.4264,2.6858,0.0775,1.3429
B2,B2k8-16000,4,2.0478,1.1851,0.3484,1.2,True,0.5196,2.93,0.1403,1.465
B2,B2k8-16000,4,2.0478,1.1851,0.3484,1.3,True,0.5994,3.1741,0.2154,1.5871
B2,B2k8-16000,4,2.0478,1.1851,0.3484,1.5,True,0.7326,3.6625,0.3932,1.8312
B2,B2k8-16000,4,2.0478,1.1851,0.3484,1.75,True,0.8675,4.2729,0.6528,2.1365
B2,B2k8-16000,4,2.0478,1.1851,0.3484,2.0,True,0.9803,4.8833,0.942,2.4417
